Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
25-058_R2_001	25-058_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40153853.0	0.0	20-150	42.0	19.87284990463202	139.2837738883987	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-059_R1_001	25-059_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	65914670.0	0.0	20-150	47.0	15.774967163584341	148.07791518944114	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-059_R2_001	25-059_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64834102.0	0.0	20-150	47.0	17.069435448697764	138.7894492006691	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-060_R1_001	25-060_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56349801.0	0.0	20-150	44.0	16.17673967035295	148.04876638339857	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-060_R2_001	25-060_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56208914.0	0.0	20-150	44.0	16.8502446332703	139.9204581145261	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-109_R1_001	25-109_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45138255.0	0.0	20-150	44.0	20.91488215210916	148.02120611441447	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-109_R2_001	25-109_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45094160.0	0.0	20-150	44.0	20.374468815882594	139.97713626332103	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-110_R1_001	25-110_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35508553.0	0.0	20-150	41.0	18.03580132451611	148.42975130527003	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-110_R2_001	25-110_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35474451.0	0.0	20-150	41.0	17.55128454411926	145.10779307056788	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-112_R1_001	25-112_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46964864.0	0.0	20-150	43.0	19.91571998021363	148.53194498764012	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-112_R2_001	25-112_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46937798.0	0.0	20-150	43.0	19.65938835023289	146.42221797452024	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-113_R1_001	25-113_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32410693.0	0.0	20-150	44.0	22.42496003026326	148.3423716364226	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-113_R2_001	25-113_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32300438.0	0.0	20-150	44.0	22.234346141675868	144.7053800942266	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-114_R1_001	25-114_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67866332.0	0.0	20-150	43.0	16.06543156972031	148.42422386994483	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-114_R2_001	25-114_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67690565.0	0.0	20-150	42.0	16.425841024048452	145.38621831565447	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-115_R1_001	25-115_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39222832.0	0.0	20-150	45.0	22.305271355888916	148.28900151829933	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-115_R2_001	25-115_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38902530.0	0.0	20-150	44.0	21.810648996451814	142.70372682702128	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
