Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
25-051_R1_001	1.0698014853447695	75.86433135104109	46.0	147.93489943120915	27.27272727272727	54025657.0
25-051_R2_001	8.673816837209106	75.10796975862237	46.0	137.22519444455813	45.45454545454545	53750540.0
25-052_R1_001	0.7623087188644263	76.9645411714283	43.0	148.3107139956788	36.36363636363637	30427313.0
25-052_R2_001	3.65933137618958	76.38491319440692	43.0	144.11039007638715	45.45454545454545	30405378.0
25-053_R1_001	0.9066474403578532	81.49794411882732	44.0	148.14598080697974	36.36363636363637	51745686.0
25-053_R2_001	6.249385292654498	81.36724644434875	44.0	140.94632270215553	45.45454545454545	51427980.0
25-054_R1_001	0.8190935656660889	78.25758422298227	45.0	148.2638400494791	36.36363636363637	50701029.0
25-054_R2_001	4.728953290594067	78.7291881814412	45.0	142.57718458698227	36.36363636363637	50653442.0
25-055_R1_001	0.677621337094007	76.98020187375515	44.0	148.45556804012597	27.27272727272727	32933096.0
25-055_R2_001	2.5448353030685302	77.84124129938186	45.0	145.82281844895718	45.45454545454545	32896732.0
25-056_R1_001	0.7692154465066815	78.26910176812885	43.0	148.34180948499915	36.36363636363637	34438506.0
25-056_R2_001	4.955146129290483	77.00588071324613	43.0	142.50049894056136	45.45454545454545	34333749.0
25-058_R1_001	0.9505455753151247	80.25655459553543	42.0	148.07031668658945	45.45454545454545	40283013.0
25-058_R2_001	7.158533691009068	80.12715009536798	42.0	139.2837738883987	45.45454545454545	40153853.0
25-059_R1_001	0.9758012761117053	84.22503283641566	47.0	148.07791518944114	45.45454545454545	65914670.0
25-059_R2_001	8.53877952399823	82.93056455130224	47.0	138.7894492006691	45.45454545454545	64834102.0
25-060_R1_001	0.9763691126908212	83.82326032964704	44.0	148.04876638339857	45.45454545454545	56349801.0
25-060_R2_001	6.665131318443004	83.14975536672969	44.0	139.9204581145261	45.45454545454545	56208914.0
25-109_R1_001	0.9864091935737417	79.08511784789084	44.0	148.02120611441447	36.36363636363637	45138255.0
25-109_R2_001	6.491545162820364	79.6255311841174	44.0	139.97713626332103	45.45454545454545	45094160.0
25-110_R1_001	0.6813389869895783	81.96419867548389	41.0	148.42975130527003	27.27272727272727	35508553.0
25-110_R2_001	2.998401616585585	82.44871545588074	41.0	145.10779307056788	36.36363636363637	35474451.0
25-112_R1_001	0.6114889122249961	80.08428001978638	43.0	148.53194498764012	27.27272727272727	46964864.0
25-112_R2_001	2.0749435115289203	80.34061164976711	43.0	146.42221797452024	36.36363636363637	46937798.0
25-113_R1_001	0.7643718638150143	77.57503996973674	44.0	148.3423716364226	36.36363636363637	32410693.0
25-113_R2_001	3.4958748999443983	77.76565385832413	44.0	144.7053800942266	45.45454545454545	32300438.0
25-114_R1_001	0.6890254283906814	83.93456843027968	43.0	148.42422386994483	27.27272727272727	67866332.0
25-114_R2_001	2.955292800757567	83.57415897595155	42.0	145.38621831565447	45.45454545454545	67690565.0
25-115_R1_001	0.8027351195260355	77.69472864411108	45.0	148.28900151829933	36.36363636363637	39222832.0
25-115_R2_001	5.239599803567159	78.18935100354818	44.0	142.70372682702128	36.36363636363637	38902530.0
25-116_R1_001	0.7316344243359842	77.46923435430871	43.0	148.3770892178975	36.36363636363637	44276856.0
25-116_R2_001	3.2858841066645925	78.05525679454821	43.0	144.6724774730366	45.45454545454545	44244978.0
25-117_R1_001	0.8285125737662173	76.48076148982142	45.0	148.2466094042019	36.36363636363637	38909607.0
25-117_R2_001	7.136697106769815	74.76116784548292	44.0	138.97766529045575	45.45454545454545	38875097.0
25-119_R1_001	0.5707749991800561	85.29741822660564	39.0	148.56943134053134	36.36363636363637	50999397.0
25-119_R2_001	1.8923941353117713	85.1602732039656	38.0	146.7117293112721	27.27272727272727	50949266.0
25-120_R1_001	0.9287652037261402	79.40716413346783	45.0	148.1094450393141	36.36363636363637	56223334.0
25-120_R2_001	6.4043095775318974	78.77010562945114	45.0	140.13635472286396	45.45454545454545	56155884.0
25-167_R1_001	0.8032469808308617	79.96031963398157	43.0	148.2986910479548	45.45454545454545	37431547.0
25-167_R2_001	5.599017670635073	78.38637618954469	43.0	141.37903891782486	45.45454545454545	37368147.0
25-168_R1_001	0.6555077129116376	80.75972741598554	44.0	148.47869434651628	27.27272727272727	44104045.0
25-168_R2_001	3.0288402753411483	80.33757714013073	44.0	145.1161269894876	45.45454545454545	44048339.0
25-169_R1_001	1.2105020863368208	82.06883229437199	47.0	147.7404918906482	45.45454545454545	57727302.0
25-169_R2_001	11.602022861404864	80.58757086824048	48.0	132.62857647264252	45.45454545454545	57572543.0
25-170_R1_001	0.7173458761530996	78.72414857882373	44.0	148.3968867782034	27.27272727272727	49733816.0
25-170_R2_001	3.057408228593461	79.18076123877596	44.0	145.02810113883194	45.45454545454545	49691616.0
25-171_R1_001	0.5889155945734172	82.71265730626533	41.0	148.55266203810797	27.27272727272727	47552888.0
25-171_R2_001	1.9034378301015165	82.61701981621985	41.0	146.70266473191728	36.36363636363637	47504516.0
25-172_R1_001	0.8952059616303661	75.68908286943977	44.0	148.14764288604198	36.36363636363637	37267566.0
25-172_R2_001	5.176476905027429	76.0171044074277	44.0	142.1528765086339	45.45454545454545	37162760.0
25-174_R1_001	0.7931536303122473	78.32941612245722	43.0	148.28491206912946	36.36363636363637	36239946.0
25-174_R2_001	4.998198915338904	78.59850176134515	43.0	142.91895860853998	45.45454545454545	35987351.0
25-175_R1_001	0.6698931600368093	79.14323404159808	42.0	148.43866869304185	27.27272727272727	37713977.0
25-175_R2_001	2.6852137623449157	79.18331921900995	42.0	145.55025391312287	45.45454545454545	37682180.0
25-177_R1_001	0.6585750979709714	80.96630486176649	41.0	148.45947181301727	27.27272727272727	43793052.0
25-177_R2_001	2.5017224108695055	80.62845631690834	41.0	145.8728430274874	36.36363636363637	43736823.0
25-179_R1_001	1.011129377749001	79.03440272861324	45.0	148.0148374524951	45.45454545454545	42313261.0
25-179_R2_001	7.724339883113737	78.40427402967256	45.0	138.75302043716388	45.45454545454545	42058233.0
25-180_R1_001	0.9950510905058706	83.02202997219912	45.0	148.05634144411715	45.45454545454545	54512323.0
25-180_R2_001	9.170563722696262	81.50471025400113	46.0	136.54427911427777	45.45454545454545	54235649.0
25-185_R1_001	0.7525384544362581	73.97621267157199	44.0	148.34574112310852	36.36363636363637	27001344.0
25-185_R2_001	3.430280756237649	74.38718871558547	44.0	144.64568638269307	45.45454545454545	26942295.0
25-186_R1_001	0.7643589721689735	73.98224293903141	45.0	148.33275345441987	36.36363636363637	25992208.0
25-186_R2_001	4.303976750208709	74.04366863366886	44.0	144.34403190198557	45.45454545454545	25727803.0
25-193_R1_001	0.7946627959669142	85.49706916711526	40.0	148.26954798740508	45.45454545454545	27463748.0
25-193_R2_001	5.958568515920079	84.3280148411126	39.0	140.789376595086	36.36363636363637	27424070.0
25-194_R1_001	0.74443709584963	80.31409703461583	42.0	148.374951007985	36.36363636363637	30767769.0
25-194_R2_001	4.598208379432684	78.72155148420546	42.0	142.82702072928203	45.45454545454545	30721421.0
25-195_R1_001	0.917651278703226	76.4386799402264	45.0	148.11943089650586	36.36363636363637	34083291.0
25-195_R2_001	5.3051768902152086	77.7204416163075	45.0	141.76387995184172	45.45454545454545	34045237.0
25-202_R1_001	0.9884335064358636	82.99731098436266	40.0	147.9839377301345	36.36363636363637	49247834.0
25-202_R2_001	7.36907744774036	83.09138458016251	40.0	138.64752809020507	36.36363636363637	49201047.0
