15-154_R2_001	9240.0	5190.5	859.0	517.5	420.0	394.5	395.0	460.5	582.5	737.0	1041.5	1929.0	41986.0	68919.5	89374.0	210461.5	386531.5	378875.5	338159.0	310071.0	313460.5	507718.5	556634.0	458927.5	605544.5	809737.5	749451.5	687441.5	757752.0	1017254.5	1233824.5	1362266.5	1351745.0	1266034.5	1385670.5	1504969.5	1606137.0	1630209.0	1405777.5	1227727.0	1254852.0	1255489.5	1159183.0	1021982.5	978158.0	1023444.0	1092214.0	1147223.0	1189054.5	1210691.5	1229218.0	1262008.5	1300159.5	1367514.0	1394350.5	1349056.0	1276373.0	1169202.0	1046074.5	924533.5	804666.5	679566.5	564980.0	468452.5	373369.5	299361.5	241641.5	193926.0	145490.0	97411.0	75741.5	65132.0	54294.5	41700.0	29815.0	23975.0	18623.5	13354.5	10096.5	8491.5	7950.0	8009.5	7706.0	6528.5	5674.5	5403.0	5273.0	5242.5	5087.5	4924.5	4831.5	4697.5	4602.0	4694.5	4987.0	5543.5	6586.0	8910.0	13682.5	26064.5	306049.0
15-161_R1_001	5635.0	3409.0	866.5	600.5	675.0	638.5	565.5	549.5	603.5	742.5	1050.0	1437.5	7624.5	11828.0	20112.5	51131.0	138118.5	176587.5	131314.5	136533.0	184054.5	330527.0	437250.5	386246.0	385532.5	526086.5	699476.5	847335.5	989657.0	1005502.0	1251045.5	1562593.0	1425729.5	1363186.0	1699049.5	1803449.0	1634320.0	1543741.0	1553042.5	1575695.0	1614229.5	1656863.5	1458376.5	1209311.0	1115961.5	1137945.0	1186432.5	1272669.5	1304295.0	1291516.0	1332496.0	1360284.5	1363986.0	1394364.5	1403616.5	1371752.0	1322958.0	1225674.5	1114900.5	1050242.5	1018455.0	932193.0	766246.5	577966.0	425520.5	331765.0	264074.0	204137.5	154705.0	113424.0	85789.5	66025.5	49952.0	37311.0	30132.0	23687.5	16094.5	9356.5	4724.5	3016.0	2650.0	2499.0	2831.0	1778.0	344.5	122.5	78.0	59.0	49.5	42.5	34.0	31.5	29.0	25.5	29.0	33.0	65.0	172.5	606.5	704.5	234.5
15-161_R2_001	12813.0	7194.0	1164.0	662.5	528.5	496.5	466.5	550.5	728.0	871.5	1118.0	1993.0	43090.5	70272.5	89749.5	208985.0	382072.0	378573.0	339754.0	306928.5	303474.5	492662.5	548638.5	468603.5	627577.5	832966.5	747949.0	671319.0	764700.5	1057834.5	1297142.5	1460078.5	1441836.0	1274660.0	1395947.5	1555505.0	1652576.5	1695699.0	1481540.0	1289843.5	1307933.0	1296874.5	1199918.5	1077019.0	1043743.0	1090875.0	1160583.5	1207126.5	1241264.5	1282944.5	1327650.0	1354417.5	1372390.5	1443542.0	1484406.0	1439532.5	1366444.0	1248135.5	1102643.5	963146.5	838711.5	725395.5	607715.0	494194.0	393855.5	317566.0	256776.0	207316.5	152084.0	101235.0	78660.0	67648.0	56251.5	41187.5	28781.5	22966.5	17781.0	12348.0	9131.0	7676.0	7343.0	7469.5	7368.0	6570.0	5805.0	5617.0	5605.5	5606.0	5546.0	5373.5	5261.0	5312.5	5434.0	5666.5	6036.5	6629.0	7787.5	10139.0	14954.5	27779.5	358478.0
25-046_R1_001	3928.0	2427.5	674.0	482.5	521.0	475.0	428.0	432.0	482.5	616.0	872.5	1291.5	5955.5	9214.5	35582.5	105968.5	138649.5	92127.0	72919.0	104224.0	147433.0	273106.0	349067.0	296255.5	309493.5	473379.0	620138.5	578978.0	623412.0	734736.5	988625.0	1259456.5	1171852.5	1129439.5	1402878.5	1477438.5	1292609.5	1201331.0	1207151.5	1228665.5	1292971.5	1375945.0	1224906.5	1001812.0	936890.5	971011.5	993925.5	1054587.5	1105202.0	1138227.0	1188021.5	1221066.5	1237531.5	1258452.0	1264820.5	1240791.0	1193836.5	1096889.5	969683.0	858049.5	786779.0	734163.0	680483.0	568584.0	420830.0	316417.0	243654.0	182705.0	136331.5	102109.0	78796.5	60557.5	46013.5	35443.5	28507.5	22486.0	15318.5	9071.5	5124.0	3637.5	3060.5	2805.5	3025.0	1824.5	321.5	94.5	57.0	46.5	37.0	31.0	26.0	21.0	25.5	29.0	27.0	27.5	51.0	198.0	859.5	1028.5	348.0
25-046_R2_001	8680.0	4885.0	785.0	431.5	361.5	337.5	328.0	430.0	626.0	838.5	1022.0	1735.5	35281.0	55298.0	71722.0	174479.0	287245.5	248425.0	216017.5	212597.0	227102.0	361571.0	426806.5	396585.5	489103.5	637918.5	623846.0	586993.0	603744.0	773919.5	1025473.5	1186759.0	1133985.0	1034189.0	1130117.0	1217564.5	1287485.0	1335508.5	1183469.5	1043089.0	1057481.5	1052383.0	994629.5	908188.0	873737.0	916351.0	974983.5	1019657.0	1081273.5	1132688.5	1169754.5	1211271.0	1245854.5	1306041.5	1341772.5	1312520.0	1243361.0	1129027.0	1004804.5	892273.5	784601.0	674161.0	556438.0	451822.0	361268.0	288865.5	230479.5	181991.0	135565.5	91622.5	71329.0	61971.5	51306.0	39408.5	27878.5	20371.0	15032.5	10513.5	7539.5	6303.5	5877.5	5983.5	5788.0	4760.0	3937.5	3699.0	3697.0	3704.5	3732.5	3631.0	3499.0	3492.0	3585.5	3753.0	3982.5	4344.0	5062.5	6421.5	9392.0	17053.0	201670.0
25-047_R1_001	2163.0	1320.0	349.0	233.5	267.5	248.0	229.0	239.5	274.0	371.5	507.5	625.0	2483.0	3901.5	6532.5	16983.0	49226.0	64156.5	48461.0	51554.0	71172.0	130206.5	182992.0	170601.5	160280.0	206586.0	270788.0	327858.0	393640.5	427828.0	565636.5	715566.0	629941.0	576299.5	710911.5	748517.0	710951.0	718036.0	719249.5	707733.0	731448.0	767564.5	714855.5	653763.0	633375.5	639358.0	651803.0	677790.0	697409.0	707884.0	739540.0	770281.0	782521.5	792272.0	800041.5	783933.5	745175.0	685752.0	621782.0	620492.0	806287.5	1445186.5	2673647.0	3456560.0	2892139.0	1752479.5	914905.5	459724.5	229029.0	117577.5	64922.0	39302.0	24996.5	17047.0	12675.0	9752.0	6549.5	3888.0	2286.0	1670.0	1454.5	1349.0	1409.0	1050.0	539.5	432.5	368.0	293.5	238.5	181.5	143.5	129.0	111.5	85.5	61.5	62.5	124.0	417.0	1971.0	2491.0	876.5
25-047_R2_001	5479.0	3082.5	507.5	290.0	247.0	256.0	257.5	284.5	374.5	464.0	549.0	852.5	15033.5	24422.0	29320.5	71709.0	130048.5	126159.0	112529.5	103868.0	110239.5	200539.0	228672.0	188084.0	250899.0	329406.5	296150.0	270591.0	314890.0	441268.5	560566.0	661927.0	648911.0	553191.0	585105.0	632032.0	688427.5	751816.0	705350.0	639703.5	640239.5	646829.5	635185.0	614750.5	614769.5	630473.0	646736.0	655135.0	674757.5	701841.5	735189.5	771186.0	789781.5	812651.0	832754.5	809322.0	757771.5	690756.5	608985.5	538190.0	483637.5	495506.5	457064.5	327981.0	249864.0	208970.5	181776.5	166256.0	154455.5	145847.5	147007.0	153677.5	158261.5	158025.0	153988.5	147435.5	137799.0	125663.5	112240.5	99249.0	87728.0	78209.5	71369.0	66294.5	62679.0	60287.0	58992.0	58434.0	57468.5	55925.5	53826.5	51499.5	49688.0	49578.0	52538.5	59433.0	72302.0	104076.0	179194.0	396973.0	4678791.5
25-048_R1_001	3304.0	2009.0	528.5	329.5	332.5	304.5	268.5	274.0	300.0	397.0	566.5	773.5	2534.0	4132.0	15348.5	43202.0	57162.0	39051.0	31982.0	46958.0	63223.0	109077.0	148655.5	141592.5	151718.0	221804.0	292488.5	292932.5	319741.0	390340.0	527943.0	652737.5	620792.5	635463.5	810828.5	879615.5	800586.0	742644.5	738715.0	752800.5	792752.0	844122.5	769751.0	648454.0	614298.0	634884.5	651603.5	702544.5	744022.0	770802.5	810665.5	835767.0	857947.5	888314.0	904998.0	893864.5	861871.5	788155.5	682388.0	592952.5	530511.0	473590.5	452123.0	430184.0	358916.5	276628.0	203097.5	141461.0	98065.5	68546.5	50767.5	39557.0	29625.0	21316.0	16506.0	13362.0	9963.0	6770.5	3815.0	2754.0	2473.5	2279.0	2486.5	1481.5	277.0	104.0	81.5	62.0	42.5	42.5	44.5	31.5	21.0	19.5	23.0	31.0	63.0	240.5	1562.0	1997.0	656.0
25-048_R2_001	6788.0	3819.5	606.0	311.5	248.5	239.0	240.0	292.0	389.0	508.0	617.0	1049.5	17048.0	27015.5	33913.0	78328.0	122287.5	103893.5	88634.0	87823.5	96790.5	162908.0	197961.5	181980.5	231924.5	305509.5	303892.0	301049.5	329630.0	429421.5	562209.5	641440.5	628290.0	613431.5	689176.5	756560.5	794561.5	804247.0	722909.0	650013.0	657561.0	665903.0	640311.5	587143.0	566950.5	599299.0	644485.0	680794.0	726986.0	770501.0	808544.5	856535.0	902991.5	941003.0	945026.0	912541.0	864967.5	787741.0	692432.5	607609.5	534230.5	455579.0	374996.0	306401.5	244561.5	197962.5	160479.0	125221.0	91708.5	63398.5	49558.0	42943.5	35764.0	27309.0	19937.0	15214.0	11973.5	9309.5	6938.0	5475.5	4959.0	4913.5	4652.5	3697.5	2911.5	2585.0	2542.5	2502.0	2484.5	2488.5	2426.5	2356.5	2351.0	2408.0	2561.5	2838.5	3514.5	5070.0	8350.0	17975.5	194905.5
25-049_R1_001	3907.0	2361.0	614.5	421.0	410.0	360.0	342.0	380.5	425.0	550.0	779.0	1173.0	10604.5	16220.5	24589.5	56722.5	158568.0	203143.0	132277.5	130791.5	177316.0	347521.5	442173.0	340354.0	321492.0	414829.0	538411.5	666474.0	812914.5	834564.5	1079986.0	1510156.5	1326119.0	1075264.0	1333852.5	1350819.5	1200343.5	1153560.0	1157872.0	1179492.0	1178105.5	1201353.0	1026373.5	802391.0	726438.0	739790.5	775629.5	874321.5	895056.0	828816.0	830784.0	857087.0	866168.0	878058.5	881993.5	872079.0	847733.5	786014.0	691716.5	601304.0	537744.0	469543.5	422460.5	392357.5	414921.5	381744.5	250108.5	159185.5	111395.0	83783.0	61220.0	44338.0	32777.5	25890.5	21551.0	15995.0	9110.0	5002.5	3211.5	2569.0	2173.5	1875.5	1815.0	1052.5	230.5	74.0	44.5	35.5	32.5	30.5	20.5	13.5	9.5	11.0	12.5	16.0	29.5	106.5	627.5	720.5	190.0
