Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
5-121_R1_001	3.5	39640472	17076739	39640472	5946070800	7628159	5755749855	3.2007850461518217
5-121_R2_001	3.5	39640472	17262678	39640472	5946070800	15878681	5808517784	2.3133430567291597
5-122_R1_001	3.5	23488608	10637162	23488608	3523291200	6117002	3390307950	3.774404170736725
5-122_R2_001	3.5	23488608	10753679	23488608	3523291200	9749041	3419378780	2.949299791058996
5-123_R1_001	3.5	44842251	19756972	44842251	6726337650	8217571	6478670405	3.6820519261324924
5-123_R2_001	3.5	44842251	19652992	44842251	6726337650	16634563	6556929080	2.5185855782901414
5-124_R1_001	3.5	52726370	26638026	52726370	7908955500	16170147	7399484787	6.441694013830271
5-124_R2_001	3.5	52726370	26139240	52726370	7908955500	23191407	7486321818	5.343735743613679
5-125_R1_001	3.5	38616225	21200173	38616225	5792433750	12671666	5330940178	7.96717911534163
5-125_R2_001	3.5	38616225	20770553	38616225	5792433750	12425965	5468742064	5.588181064651796
5-126_R1_001	3.5	43719491	24549146	43719491	6557923650	22923402	5851764401	10.768030960531235
5-126_R2_001	3.5	43719491	23176084	43719491	6557923650	19105646	6080082772	7.286466014284872
5-127_R1_001	3.5	33648778	22704068	33648778	5047316700	22256124	3488000486	30.893964192894813
5-127_R2_001	3.5	33648778	15460978	33648778	5047316700	20286278	4599692067	8.86856640083631
5-128_R1_001	3.5	40849640	21117352	40849640	6127446000	7655946	5767921458	5.867445294499536
5-128_R2_001	3.5	40849640	20851564	40849640	6127446000	34592159	5811464304	5.1568254701877425
5-130_R1_001	3.5	47240071	20808147	47240071	7086010650	8251378	6835992998	3.5283273529937467
5-130_R2_001	3.5	47240071	20533072	47240071	7086010650	17020251	6912423926	2.449710176486963
5-131_R1_001	3.5	51805687	28622666	51805687	7770853050	15060407	7213844542	7.16791971764284
5-131_R2_001	3.5	51805687	28508938	51805687	7770853050	17994177	7297071979	6.096899117143902
5-133_R1_001	3.5	31058429	15057389	31058429	4658764350	7893280	4404837279	5.450524042925673
5-133_R2_001	3.5	31058429	14958085	31058429	4658764350	11652356	4478340736	3.872778282936762
5-135_R1_001	3.5	18080856	10240540	18080856	2712128400	6242873	2500725324	7.794729630057338
5-135_R2_001	3.5	18080856	10043200	18080856	2712128400	7887277	2537555648	6.436743629099566
5-181_R1_001	3.5	59966791	28220997	59966791	8995018650	11943481	8616376413	4.209465835849045
5-181_R2_001	3.5	59966791	28495253	59966791	8995018650	21190156	8692794198	3.359909120366304
5-182_R1_001	3.5	35284655	15550452	35284655	5292698250	6913833	5089918353	3.831314150584723
5-182_R2_001	3.5	35284655	15639137	35284655	5292698250	15603299	5139098650	2.902103856005772
5-187_R1_001	3.5	72023981	35204148	72023981	10803597150	20527828	10170860903	5.856718259806643
5-187_R2_001	3.5	72023981	35207626	72023981	10803597150	30563359	10264859022	4.98665509755702
5-188_R1_001	3.5	37262764	18536551	37262764	5589414600	6909932	5292391081	5.314036267769437
5-188_R2_001	3.5	37262764	18558828	37262764	5589414600	32121624	5338100969	4.496242432973213
5-189_R1_001	3.5	31982944	13288700	31982944	4797441600	5531675	4628638811	3.5186001847317954
5-189_R2_001	3.5	31982944	13340769	31982944	4797441600	13609583	4678775825	2.4735220330769634
5-197_R1_001	3.5	55144921	28282712	55144921	8271738150	23058508	7654627195	7.460474978889413
5-197_R2_001	3.5	55144921	27868634	55144921	8271738150	26040261	7783348163	5.904321173416255
