Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
25-050_R1_001 - Adapter 1	10833557	2904835	1150410	440939	314067	266424	263670	253724	244034	243962	239870	240132	240997	238868	255217	238845	237672	234076	232512	222587	215617	211063	217973	206322	213756	202521	198071	194734	183617	174311	172196	172322	169074	173524	157623	161528	153887	157280	146515	140938	133500	129313	125156	154980	116613	163051	45244	208402	283939	66213	59144	94355	26388	104469	17805	41120	25910	33126	102789	23817	42924	3887	6776	20553	56752	3664	2228	15323	16986	17105	13039	5313	4060	9900	10688	10258	9749	9081	8343	7315	6576	5886	5089	4353	4637	4019	3606	3410	3142	2788	2518	2398	2016	1750	1557	1499	1444	1375	1240	1121	1013	909	839	775	646	627	750	674	536	574	510	459	432	413	383	381	291	365	325	478	634	323	228	155	143	154	143	180	198	779	40836	241	192	285	197	165	224	282	214	261	471	278	457	431	492	701	853	872	8237	466237
25-050_R2_001 - Adapter 1	11312219	3073686	1119509	465224	314305	268011	263949	253244	242246	244087	239016	244502	236379	239280	259618	230502	238307	235188	245941	233562	198717	203298	216969	222667	201024	202673	218090	182096	179868	173001	166351	168003	168686	182332	184166	142054	145164	155605	141630	141002	139443	114962	124047	114354	129252	106435	101523	109646	93420	84715	81873	82002	69016	69364	69934	60097	63105	66731	48123	48406	44027	41569	32747	38211	28379	28915	28663	24226	19921	25405	11762	14740	14770	14761	14524	4202	9114	8993	8367	7328	6611	5822	5007	4354	4183	3965	3616	3365	3118	2750	2497	2340	1954	1719	1523	1435	1403	1367	1227	1077	1003	887	808	764	624	616	753	645	519	563	433	430	377	370	346	358	286	339	304	436	597	320	211	150	135	143	115	167	216	924	38805	199	149	237	137	118	152	221	163	187	396	191	350	329	326	539	535	400	239	9332
25-051_R1_001 - Adapter 1	8752615	2435457	906602	411095	321360	295739	294115	290534	291960	295919	297270	300259	302095	304548	309183	303790	298828	292657	300256	288573	293162	290267	287709	283165	287237	281190	278639	274592	266969	263374	264110	267098	261677	258228	256551	252820	251414	242629	240434	235399	235875	244066	235580	354559	213162	294720	185929	1719784	331980	269904	83012	248094	32139	76276	18363	28356	11736	64583	190021	26057	93587	16248	9568	71059	176052	47246	10188	16324	42474	51989	43154	23036	23350	64183	76615	76889	75774	71756	69681	66329	61528	58906	53570	47938	46624	44079	42919	40399	38251	34631	31118	28073	24216	21460	19562	17679	16846	15719	14574	12543	11020	10080	8196	6851	5735	5282	5297	4961	4013	3825	3206	2804	2238	2126	1996	1887	1618	1475	1492	2172	3502	2089	930	616	516	531	614	803	942	5278	220979	1311	625	1397	746	473	608	1305	639	604	1258	705	922	955	987	1132	1638	2185	25368	1444652
25-051_R2_001 - Adapter 1	9180204	2548757	1050565	445957	324677	296538	294293	290880	288939	296407	294999	305697	295444	304826	312831	291925	299419	293473	296148	341224	255668	279080	285848	306272	269687	280580	305754	253503	263134	253429	269537	257354	282498	238263	251682	263509	268641	240836	225210	242752	228501	221458	234627	216327	249081	203827	197943	216460	189082	184188	189187	196342	168398	177490	184311	157454	172451	198675	141840	155482	134775	138261	122836	149449	111118	121347	121045	112468	97448	134699	68863	91313	98041	101375	105737	29607	71477	71900	69566	66263	61487	57950	52718	48040	45300	43559	43001	40416	38185	34279	30988	27769	24088	21114	19222	17356	16689	15485	14676	12394	10882	9853	7959	6722	5632	5208	5214	4868	3956	3794	3176	2791	2251	2125	1954	1849	1545	1434	1456	2111	3300	1958	885	556	472	486	548	694	805	5747	212307	1210	525	1246	581	324	443	1153	420	389	1071	459	651	588	548	642	634	856	1322	38704
25-052_R1_001 - Adapter 1	6495420	1675635	665448	231469	151677	127611	126335	120168	118725	119352	117717	118542	118436	118125	124403	117136	118481	114347	116564	113953	109460	105578	108860	106204	104719	101657	98866	95330	91714	87947	88424	88435	86083	84603	81612	80086	78465	79193	72455	70993	68095	65971	62325	79784	59706	82858	27740	221967	107648	19595	19092	35973	6829	36779	4929	12643	5289	14069	43059	5164	16636	1716	1601	9945	24885	3106	969	4050	6518	6755	5187	2374	1917	4894	5514	5112	4802	4440	4119	3605	3303	3017	2473	2245	2159	2150	1975	1842	1621	1536	1369	1224	1092	964	924	755	711	682	638	602	538	447	477	422	354	311	404	307	288	263	285	221	235	207	195	155	155	158	136	130	127	100	102	87	85	76	77	87	87	134	1689	119	103	197	109	108	149	200	136	169	264	173	245	295	294	388	503	539	7532	346286
25-052_R2_001 - Adapter 1	6765001	1773900	625225	242729	153293	128928	126687	120188	117961	119743	117435	121580	115287	118736	126723	113600	118019	114895	125631	117201	100577	101024	108160	108025	103445	101750	110129	90049	89360	87778	85455	87241	90003	89474	73093	82855	74915	80383	87363	56149	64480	60818	63953	56168	66015	50866	49174	53533	45100	40924	40647	40788	33493	34412	34496	29655	30255	33277	22782	23778	19739	20215	16408	19163	13469	14201	13514	11237	9567	12305	5682	7402	7222	7084	7341	2093	4539	4475	4104	3500	3234	2987	2467	2290	2121	2021	1968	1829	1642	1530	1368	1198	1070	935	899	739	694	657	627	611	539	449	461	413	361	321	413	316	279	256	247	230	228	223	180	157	161	162	131	130	131	94	95	94	86	57	68	74	59	116	1580	86	78	163	76	72	87	166	89	116	192	113	178	198	176	281	282	202	228	11812
25-053_R1_001 - Adapter 1	9675212	2674886	1188733	426841	304912	266440	265172	252719	250269	252698	251988	252352	254886	254542	265605	251028	247145	244936	250603	237615	234893	230856	234009	228440	231777	223092	218042	215000	204485	196539	199178	200086	195725	192212	189926	186135	184743	180711	176015	169989	165937	163875	158576	234435	143293	202220	120045	1078674	197637	162799	51249	149623	19735	36556	12414	14835	6602	40688	111668	15645	55775	9152	5434	40876	99802	25594	5983	8905	21951	26422	21490	11021	11689	31509	36212	36370	35142	33647	30837	29831	27835	26236	24442	20647	20327	18991	18327	17044	15936	14525	13162	11651	10122	8810	8091	7527	6891	6718	6146	5405	4660	4524	3897	3227	2833	2758	3093	3555	2285	2251	1850	1779	1500	1458	1637	1396	1224	1239	1254	2563	2545	1673	733	507	457	547	562	736	829	5338	285259	1936	749	825	645	446	573	867	593	605	1085	653	854	1051	1043	1338	1500	1765	15434	801750
25-053_R2_001 - Adapter 1	10144658	2741633	1004507	435437	305803	267659	265811	253417	247974	253945	250340	258728	248423	254960	271354	239848	249813	245472	269542	243628	218166	220607	232769	247743	217999	224690	241819	200757	201541	208113	179150	200925	190446	241738	148615	195256	182061	176889	157862	206494	129723	150795	159204	145558	171024	138453	131142	151132	125713	119525	118654	125213	102294	108290	111467	100151	111591	125477	84582	94637	82742	83406	68356	87101	63242	68349	71135	60292	50702	73321	30925	44221	47010	48542	51653	15438	33145	33511	30811	29874	27733	25378	23527	20533	19220	18749	18375	16902	16003	14495	13097	11601	9917	8714	7869	7409	6750	6621	6092	5351	4596	4337	3818	3165	2799	2698	3037	3334	2218	2190	1735	1713	1433	1414	1497	1334	1150	1176	1178	2357	2304	1550	668	491	440	492	514	677	778	5524	276114	1840	668	756	577	347	472	778	488	505	978	528	692	886	800	1119	986	1062	773	22238
25-054_R1_001 - Adapter 1	9599393	2727146	1030566	435251	324142	280726	277791	270686	264596	266828	262695	263229	262280	261554	270231	262014	257522	251814	251708	240479	237929	233610	234169	227340	229685	222612	217772	213519	204087	194949	192994	192991	186892	192125	175692	178582	168639	172820	161272	155844	149461	146228	141382	185949	127435	183402	45483	247168	313427	70597	55240	108120	29563	132631	17948	50079	30952	37712	119334	27360	48993	4253	7848	24245	66701	4231	2507	18080	20262	20958	16150	6813	4863	12051	13268	12639	12107	11149	10132	9210	8010	7261	6481	5628	5746	5104	4751	4326	3897	3584	3183	2888	2585	2278	2043	1910	1751	1790	1571	1416	1255	1121	1026	878	869	800	783	765	748	652	651	520	457	456	413	368	329	312	327	393	531	334	212	150	146	136	147	149	175	644	26648	174	166	249	179	160	177	265	176	198	383	249	380	400	425	508	663	781	8012	488065
25-054_R2_001 - Adapter 1	10121024	2919852	1110755	465563	332504	283335	277896	270430	262323	267016	261350	268213	256787	262154	273300	253665	256449	252971	250284	280316	207139	224113	232825	243797	216499	222076	238038	197078	201724	187277	197041	185391	197699	174040	178178	182710	183674	166214	152907	160408	145458	135437	142180	127728	145102	118381	115026	122203	103963	96707	94259	94101	78664	80510	81658	69140	71092	74994	57412	55063	49291	47999	39159	45493	33182	34972	32905	29065	23949	30013	15121	18472	18457	18003	18174	5010	11403	11081	10193	9254	8060	7204	6421	5660	5325	5024	4749	4308	3875	3543	3135	2867	2543	2227	2031	1845	1756	1744	1563	1399	1255	1092	1026	892	871	793	793	776	735	663	565	526	432	458	398	350	313	303	322	412	521	324	209	142	133	119	148	133	139	682	25463	150	158	200	130	94	108	218	115	137	320	155	301	309	271	358	364	392	247	9715
