Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
5-005_R1_001_val_1	3.5	43882525	8085220	43882525	6447987656	1217521	6115087854	5.162848004062618
5-005_R2_001_val_2	3.5	43882525	17989623	43882525	6441400672	2412855	6247403858	3.0117178526602295
5-006_R1_001_val_1	3.5	33002575	5367867	33002575	4675837431	1136492	4509966130	3.5474137723502044
5-006_R2_001_val_2	3.5	33002575	11003751	33002575	4670309174	2367801	4554405812	2.4817064070456762
5-007_R1_001_val_1	3.5	29758547	4927944	29758547	4326170299	905945	4151021803	4.048580705213704
5-007_R2_001_val_2	3.5	29758547	10853476	29758547	4320889312	1950665	4207200383	2.6311465254215705
5-008_R1_001_val_1	3.5	50042288	8209802	50042288	7328918337	1607045	7087141598	3.2989416429896834
5-008_R2_001_val_2	3.5	50042288	18973300	50042288	7320222265	3043456	7124465317	2.674194046483642
5-009_R1_001_val_1	3.5	32440532	5340190	32440532	4659616708	1234282	4470038689	4.068532475525667
5-009_R2_001_val_2	3.5	32440532	11586849	32440532	4654298351	2123158	4522043908	2.8415549031484937
5-010_R1_001_val_1	3.5	33673102	4907029	33673102	4863077982	1160131	4710100365	3.145695330533978
5-010_R2_001_val_2	3.5	33673102	11185361	33673102	4857308715	2048374	4747618660	2.25824754892072
5-012_R1_001_val_1	3.5	42628644	7438905	42628644	6281411117	1349763	5988548068	4.662376710344527
5-012_R2_001_val_2	3.5	42628644	17068545	42628644	6273062031	2716632	6084836714	3.000533329175364
5-014_R1_001_val_1	3.5	48224712	8016784	48224712	6723598607	1621389	6474808049	3.700258931890757
5-014_R2_001_val_2	3.5	48224712	15764882	48224712	6716363286	3239683	6547243439	2.518027089936064
5-015_R1_001_val_1	3.5	33482118	5364521	33482118	4874592855	978886	4726196502	3.0442820029120155
5-015_R2_001_val_2	3.5	33482118	12358005	33482118	4870503928	1718165	4750310315	2.4677859781411926
5-061_R1_001_val_1	3.5	36415008	6250903	36415008	5330827098	985574	5132968102	3.711600326978003
5-061_R2_001_val_2	3.5	36415008	14401956	36415008	5325467573	1965400	5173953197	2.8450905751107087
5-063_R1_001_val_1	3.5	42206464	6484253	42206464	6124598164	1355527	5905117570	3.583591741415674
5-063_R2_001_val_2	3.5	42206464	14724526	42206464	6115913333	2752446	5972997174	2.336791763036581
5-066_R1_001_val_1	3.5	18905359	2865054	18905359	2383289181	645772	2305848926	3.2493016633217366
5-066_R2_001_val_2	3.5	18905359	5248381	18905359	2381050054	1338328	2326489489	2.291449728591048
5-067_R1_001_val_1	3.5	44328424	7222577	44328424	6353381737	1562497	6107708481	3.8668108759982105
5-067_R2_001_val_2	3.5	44328424	15337168	44328424	6345620415	3223583	6181516747	2.586093356799061
5-069_R1_001_val_1	3.5	36821765	6365075	36821765	5461513780	1007556	5196017602	4.861219593956605
5-069_R2_001_val_2	3.5	36821765	14669251	36821765	5453520484	2257902	5287966154	3.0357331651309885
5-071_R1_001_val_1	3.5	42180987	7079110	42180987	6163452252	1332576	5945256365	3.540157010694726
5-071_R2_001_val_2	3.5	42180987	16126832	42180987	6155866722	2759120	5984309150	2.7868954892555258
5-073_R1_001_val_1	3.5	31256890	5133162	31256890	4358403279	854502	4188546557	3.897223618989481
5-073_R2_001_val_2	3.5	31256890	10742012	31256890	4355805345	2135491	4250080162	2.42722469500069
5-074_R1_001_val_1	3.5	35843055	5645544	35843055	5230465231	1232907	5052326665	3.4057881685974256
5-074_R2_001_val_2	3.5	35843055	13260584	35843055	5224878753	2145001	5081913921	2.736232528226861
5-075_R1_001_val_1	3.5	27283340	4631411	27283340	3945664089	848617	3777616043	4.259056072930693
5-075_R2_001_val_2	3.5	27283340	9953157	27283340	3943000951	1373900	3844887461	2.4882948601652517
5-121_R1_001_val_1	3.5	39210287	6335162	39210287	5754655553	1225760	5528046164	3.9378445314918054
5-121_R2_001_val_2	3.5	39210287	14554322	39210287	5747400308	2428743	5596247430	2.629934751362372
5-122_R1_001_val_1	3.5	23245236	3903576	23245236	3389594306	854100	3244747754	4.2732710443725885
5-122_R2_001_val_2	3.5	23245236	8760711	23245236	3385587320	1531991	3284129032	2.9967706755234422
5-123_R1_001_val_1	3.5	44229957	6794992	44229957	6477325156	1218235	6283924369	2.9858125436369556
5-123_R2_001_val_2	3.5	44229957	16056202	44229957	6470239204	2475093	6315723269	2.388102358016005
5-124_R1_001_val_1	3.5	52039602	8376207	52039602	7397772933	1654505	7157521784	3.2476145344808733
5-124_R2_001_val_2	3.5	52039602	18525823	52039602	7389920708	3262100	7192582038	2.670376013458032
5-125_R1_001_val_1	3.5	37618423	6772590	37618423	5330130917	1230399	5076685769	4.754951650280451
5-125_R2_001_val_2	3.5	37618423	13735162	37618423	5326958206	1924114	5179678690	2.7647957859724195
5-126_R1_001_val_1	3.5	41812921	6854808	41812921	5844804084	1152726	5625763309	3.747615349496803
5-126_R2_001_val_2	3.5	41812921	14030403	41812921	5838649545	2672513	5700087644	2.3731840716259325
5-127_R1_001_val_1	3.5	25792233	3920798	25792233	3484549210	806389	3368220366	3.3384187448453337
5-127_R2_001_val_2	3.5	25792233	7929193	25792233	3480355832	1751979	3403090894	2.2200298397534657
5-128_R1_001_val_1	3.5	40305779	6184706	40305779	5761323685	1248090	5598191016	2.8315136923260718
5-128_R2_001_val_2	3.5	40305779	13407794	40305779	5743605447	4815881	5604620378	2.4198227103603482
5-130_R1_001_val_1	3.5	46544878	8325210	46544878	6832786708	1316227	6501589257	4.847179710911005
5-130_R2_001_val_2	3.5	46544878	18254404	46544878	6825630093	2598010	6641971692	2.6907171718600775
5-131_R1_001_val_1	3.5	51132061	8306120	51132061	7211634406	1330111	6999602112	2.940142026939018
5-131_R2_001_val_2	3.5	51132061	16885445	51132061	7205701160	2754864	7025139275	2.5058197806249294
5-133_R1_001_val_1	3.5	30499769	4827246	30499769	4404145305	913170	4238413990	3.763075546391401
5-133_R2_001_val_2	3.5	30499769	10627031	30499769	4399474679	1783350	4290990000	2.4658552876285347
5-135_R1_001_val_1	3.5	17718300	2929700	17718300	2498531274	584231	2408243379	3.6136387780911967
5-135_R2_001_val_2	3.5	17718300	5997494	17718300	2495793023	1226959	2432560511	2.5335639380862234
5-181_R1_001_val_1	3.5	59296280	10247393	59296280	8613637852	1572556	8223494301	4.529370257996308
5-181_R2_001_val_2	3.5	59296280	22042364	59296280	8604923440	3159739	8378037280	2.636701669480513
5-182_R1_001_val_1	3.5	34757346	5232682	34757346	5086228105	1211497	4931352470	3.04499978771597
5-182_R2_001_val_2	3.5	34757346	12354375	34757346	5078672184	2430989	4955686665	2.4216077459666967
5-187_R1_001_val_1	3.5	71242717	11451317	71242717	10168584588	2123427	9761551779	4.002846271056658
5-187_R2_001_val_2	3.5	71242717	25281876	71242717	10155378767	4541702	9897846546	2.5359194069339237
5-188_R1_001_val_1	3.5	36739707	5774026	36739707	5286818045	1133473	5090631213	3.7108678666469976
5-188_R2_001_val_2	3.5	36739707	12568178	36739707	5270172704	4457593	5145174250	2.3718094457346273
5-189_R1_001_val_1	3.5	31342733	5042218	31342733	4622747416	875894	4438007586	3.9963210916648535
5-189_R2_001_val_2	3.5	31342733	11756452	31342733	4616335851	2070406	4499700285	2.5265831985498663
5-197_R1_001_val_1	3.5	53741682	7822878	53741682	7644203447	1629290	7406646065	3.1076800041635524
5-197_R2_001_val_2	3.5	53741682	17156170	53741682	7633790775	3815867	7466535029	2.1909920107811702
