metabolite,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p.adj
parabanic acid ,0.498273928395084,8.04065277825933,7.54237884986425,3.5006754128204,0.00336632689126884,14.5036558902769,0.193984052144404,0.802563804645764,Welch Two Sample t-test,two.sided,0.00621915734986344
phenol ,0.536467673258414,8.89658979920752,8.36012212594911,3.83100133598791,0.000855546120438124,22.9918670885733,0.246781097907123,0.826154248609705,Welch Two Sample t-test,two.sided,0.00216942051968239
phenylalanine,-1.22566704166033,9.02331261630131,10.2489796579616,-4.0243824483511,0.000369284920058069,29.2858941921444,-1.84829872771776,-0.603035355602909,Welch Two Sample t-test,two.sided,0.00119178315109649
phenylethylamine,0.465415296086865,13.259113530726,12.7936982346391,3.35760867493635,0.00341615685415034,18.4317636205476,0.174683971217687,0.756146620956044,Welch Two Sample t-test,two.sided,0.00621915734986344
phosphate,1.20915582962717,12.5870259862829,11.3778701566557,3.60354874902823,0.00138430828886194,24.6185604504372,0.517542882156751,1.9007687770976,Welch Two Sample t-test,two.sided,0.00305016936975014
pinitol,-1.74778976928422,7.90825510785513,9.65604487713935,-4.69210527220772,0.000584633484058644,11.4976608869982,-2.56333877049379,-0.932240768074658,Welch Two Sample t-test,two.sided,0.00176220141135528
propylamine,0.549890882311502,8.59236115876783,8.04247027645633,2.46947685701636,0.0232822612917602,18.8205708183277,0.0835257288382574,1.01625603578475,Welch Two Sample t-test,two.sided,0.0359356641677169
pyrophosphate,1.82913573268933,11.5370264102266,9.70789067753727,16.2677197750934,7.42564821195164e-12,17.1395131690287,1.59205594572774,2.06621551965093,Welch Two Sample t-test,two.sided,1.75740341016189e-10
raffinose,1.40715925218322,11.192366885262,9.78520763307876,3.16639343470306,0.00403770401664028,24.9740494623761,0.491842980569998,2.32247552379645,Welch Two Sample t-test,two.sided,0.00716692462953649
ribitol,0.56114488145048,7.69147982750348,7.130334946053,2.71491838212399,0.0140088685857658,18.3934552556112,0.127571403480672,0.994718359420288,Welch Two Sample t-test,two.sided,0.0226052197633948
saccharic acid,1.03064734064308,4.87219838868761,3.84155104804453,3.39232985776752,0.00340833707307326,17.2443001257274,0.390340648361412,1.67095403292474,Welch Two Sample t-test,two.sided,0.00621915734986344
taurine,0.912504248365408,14.4680943532144,13.555590104849,3.69534503728313,0.000836510496439745,31.3025157974253,0.409077381101684,1.41593111562913,Welch Two Sample t-test,two.sided,0.00216942051968239
threonic acid,1.08045141935261,8.00864158396261,6.92819016461,3.91703954224889,0.000848740043219938,20.0805854509125,0.50522044324514,1.65568239546008,Welch Two Sample t-test,two.sided,0.00216942051968239
tocopherol gamma-,0.415499209632325,5.82321736213821,5.40771815250589,2.75275449930227,0.011791882894843,21.4161143613004,0.101974421846699,0.729023997417952,Welch Two Sample t-test,two.sided,0.0194703182682291
uric acid,0.940373723532973,6.79590055919521,5.85552683566223,3.7444312771105,0.000707856051009066,32.2525797552856,0.428976848317209,1.45177059874874,Welch Two Sample t-test,two.sided,0.00201031118486575
xanthine,0.81621602266302,5.65808221426094,4.84186619159792,4.73778374246853,5.52952717260406e-05,28.3393610345955,0.463510772587903,1.16892127273814,Welch Two Sample t-test,two.sided,0.000245372768284305
